idx,class,conversation
0,일반 대화,"A: 오늘 날씨 즐거울 것 같아요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 카페 가기에 완벽한 날씨네.
A: 우리 조금 뒤에 근처 카페이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 김밥 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 즐거울 것 같아요 그럼 내일 조금 뒤에 준비해서 가자.
B: 응 내가 김밥 미리 주문해 놓을게."
1,일반 대화,"A: 지수 오늘 점심 메뉴 김치찜 나온다는데 봤어?
B: 와 진짜? 대박이다 나 김치찜 진짜 좋아하거든.
A: 그러니까 우리 수업 끝나고 수업 끝나자마자 공원으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 다행이에요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 수업 끝나고 정문 앞에서 만나!"
2,일반 대화,"A: 오늘 날씨 조금 걱정되지만 괜찮아요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 지하철역 가기에 완벽한 날씨네.
A: 우리 내일 아침에 근처 지하철역이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 제육덮밥 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 조금 걱정되지만 괜찮아요 그럼 내일 내일 아침에 준비해서 가자.
B: 응 내가 제육덮밥 미리 주문해 놓을게."
3,일반 대화,"A: 어서 오세요 회의실입니다 주문 도와드릴까요?
B: 김밥 두 잔이랑 조각 케이크 하나 주세요.
A: 네 알겠습니다 김밥은 즐거울 것 같아요 따뜻한 거로 드릴까요?
B: 아뇨 시원한 아이스로 한 잔 해주시고 하나는 따뜻하게요.
A: 네 총 얼마입니다 결제는 카드로 하시나요?
B: 네 여기요 김밥 나오는데 오래 걸리나요?
A: 아뇨 지금 당장 준비해 드릴게요 잠시만 기다려 주세요.
B: 네 영수증은 버려주시고 벨 울리면 가지러 올게요."
4,일반 대화,"A: 영미 오늘 점심 메뉴 피자 어떠신가요?
B: 오 기대되네요 저도 그거 먹고 싶었어요.
A: 그럼 이따가 오후에 매점 앞에서 뵙는 거로 할까요?
B: 좋지요 제가 매점 미리 예약 가능한지 알아볼게요.
A: 네 영미 예약되면 바로 연락 부탁드립니다.
B: 네 알겠습니다 영미도 이따 뵙겠습니다.
A: 제발 예약이 꽉 차지 않았으면 좋겠네요.
B: 제가 이따가 오후에 확인해보고 바로 말씀드릴게요."
5,일반 대화,"A: 사원님 오늘 점심 메뉴 김치찜 나온다는데 봤어?
B: 와 진짜? 대박이다 나 김치찜 진짜 좋아하거든.
A: 그러니까 우리 퇴근하기 전에 수업 끝나자마자 운동장으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 기대되네요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 퇴근하기 전에 정문 앞에서 만나!"
6,일반 대화,"A: 민수 오늘 점심 메뉴 파스타 나온다는데 봤어?
B: 와 진짜? 대박이다 나 파스타 진짜 좋아하거든.
A: 그러니까 우리 퇴근하기 전에 수업 끝나자마자 식당으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 맛있겠네요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 퇴근하기 전에 정문 앞에서 만나!"
7,일반 대화,"A: 팀장님 오늘 점심 메뉴 김밥 나온다는데 봤어?
B: 와 진짜? 대박이다 나 김밥 진짜 좋아하거든.
A: 그러니까 우리 조금 뒤에 수업 끝나자마자 식당으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 조금 걱정되지만 괜찮아요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 조금 뒤에 정문 앞에서 만나!"
8,일반 대화,"A: 지수 오늘 점심 메뉴 삼겹살 나온다는데 봤어?
B: 와 진짜? 대박이다 나 삼겹살 진짜 좋아하거든.
A: 그러니까 우리 조금 뒤에 수업 끝나자마자 운동장으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 기대되네요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 조금 뒤에 정문 앞에서 만나!"
9,일반 대화,"A: 어서 오세요 카페입니다 주문 도와드릴까요?
B: 파스타 두 잔이랑 조각 케이크 하나 주세요.
A: 네 알겠습니다 파스타은 기대되네요 따뜻한 거로 드릴까요?
B: 아뇨 시원한 아이스로 한 잔 해주시고 하나는 따뜻하게요.
A: 네 총 얼마입니다 결제는 카드로 하시나요?
B: 네 여기요 파스타 나오는데 오래 걸리나요?
A: 아뇨 조금 뒤에 준비해 드릴게요 잠시만 기다려 주세요.
B: 네 영수증은 버려주시고 벨 울리면 가지러 올게요."
