class,conversation
일반 대화,돈 아깝다고 난리네 진짜 설거지 하기 싫어서 외식하자니까 증오스러워 내가 설거지 하기 할게
일반 대화,아 점심 메뉴 정하는 게 제일 힘들어 팀장님은 와 아무거나 먹자고 별로라고 하시잖아 그니까요 헐 하시면서 걍 다 걍 오늘은 그냥 저희끼리 그래 먹으러 가면 안 될까요 우리 아니 몰래 나가서 햄버거 먹고 올까 오 좋은 생각이에요 가시죠
일반 대화,너 손목 보호대 어 찼네 터널 증후군이야? 어 회사에서 타이핑을 너무 많이 쳤나 봐 병원 아 에이 가니까 휴식이 아 진짜 어 답이라는데 진짜 그게 쉽나 업무 중간중간에 스트레칭이라도 좀 해줘 어 손목 돌리기라도 자주 해야겠다
일반 대화,안녕하세요 아이가 덩치가 좀 있는데 무겁지는 않으세요 아 이 새끼가 보기보다 살집이 좀 있어서 팔이 좀 아프긴 하네요 그래도 너무 귀여워서 안고 다닐 맛 나죠 그쵸 애교가 많아서 힘들어도 웃게 되더라고요 고생 많으십니다
일반 대화,오늘 입은 코트 색깔 진짜 오묘하다 흔하지 않은 색이라 더 헐 아 진짜 와 예쁜 듯 그치 진짜 이거 진짜 구하느라 진짜 힘들었어 품절 대란이라 뭐 재입고 기다려서 산 거야 기다린 보람이 있네 나중에 나 한 번만 입어봐도 돼 응 입어봐
일반 대화,친구들과 어 여행 음 갔는데 저를 투명인간 취급하더라고요. 돈은 똑같이 진짜 냈는데 그래 아니 소외감 좀 느껴서 슬펐어요.
일반 대화,회사 동료가 내 진짜 어 오 헐 성과 가로채는 거 보고 어 거 보고 정떨어졌어 앞으로 진짜 절대 안 헐 도와줄 거야
일반 대화,퇴근하고 집에 갈 때 걸어서 가세요 가끔 어 날씨 좋으면 어 운동 삼아 한 정거장 진짜 정도 걸어가요 저도 요즘 헐 살쪄서 뭐 좀 걸어야 하는데 같이 하실래요 좋죠 오늘부터 저랑 같이 헐 퇴근하면서 걸어봐요
일반 대화,여보 오늘 저녁에 뭐 먹을까 냉장고에 먹을 게 하나도 없네 퇴근길에 마트 들러서 고기 좀 사갈까 그래 삼겹살 사오면 내가 된장찌개 맛있게 끓여놓을게 좋아 상추랑 깻잎도 잊지 말고 사와 알았어 이따가 봐
일반 대화,배달시킨 대박 피자가 와 너무 늦게 와서 야 다 식었어 치즈가 하나도 안 비 오는 날이라 배달이 늘어나서 걍 맛없다 그러게 많이 좀 아이고 밀렸나 봐 다음부터는 그냥 가까운 데서 포장해 오자
일반 대화,여보 오늘 애들 학교 그니까 상담 다녀왔어 막 아 선생님이 뭐래 우리 애 학교 생활 잘하고 친구들이랑도 좀 사이좋대 다행이다 공부는 어떠냐는데 성적도 이만하면 괜찮대 애가 근데 아 진짜 기특하네 이따 칭찬 많이 해주자
일반 대화,요즘 볼 만한 드라마 추천 좀 해줘 너 약한영웅 봤어 아니 그거 재밌나 진짜 대박임 박지훈 연기 장난 아니야 오늘 밤에 정주행 해봐라 시간 가는 줄 모르고 보게 될걸 오 오케이 바로 본다
일반 대화,우리 이번 주말에 집들이 가야 되는데 선물 뭐 사갈까 향초나 디퓨저 어때 아님 화분도 괜찮을 듯 지수가 꽃 좋아하니까 화분으로 하자 그래 예쁜 거로 골라보자 꽃말도 좋은 거로 찾아서 선물하자 센스 대박이다
일반 대화,너 방 꼴이 이게 아니 뭐니 얼른 아 아 이따가 할게 청소 헐 안 해 지금 게임 중이란 말이야 아이고 이따가가 언제야 지금 당장 안 치우면 다 갖다 버린다 아 알았어 어 이것만 끝내고 바로 근데 치울게 진짜지 엄마가 지켜본다
일반 대화,너 오 오늘 그니까 너 오 오늘 근데 몇시에 가 나 9시는 넘어야될듯 진짜 대박 어쩌다 이렇게 된거야 몰라 일 너무 많다 그니까 그냥 죽으라는거지 음 야 고생해
일반 대화,아빠 저 이번 달 용돈이 에이 좀 모자란데 조금만 헐 더 주시면 안 돼요 벌써 다 썼어 너 저번 주에 생일이라 선물 아 진짜 받아갔잖아 책도 사고 친구 사느라 다 썼단 말이에요 알았어 그래 이번만 보내줄 테니까 다음 달에는 아껴 써 네 아 감사해요 막 아빠 최고
일반 대화,다이어트할 때 탄산음료 오 너무 당기는데 제로 콜라는 괜찮겠지 응 제로 콜라는 칼로리 거의 없어서 괜찮아 나도 탄산 근데 생각날 때마다 마셔 다행이다 탄산까지 뭐 끊었으면 진짜 우울했을 거야 제로 야 탄산이 근데 야 우리를 살린다
일반 대화,이번 회식 장소 정해졌어 응 또 거기 지하 횟집이래 아 거기 진짜 싫은데 담배 냄새 나고 좁잖아 부장님 단골이라 어쩔 수 없나 봐 진짜 가기 싫다 나 아프다고 하고 빠질까 아마 안 보내주실걸 눈치 엄청 줄 텐데 그냥 가서 대충 먹고 오자
일반 대화,아빠 저 노트북 좀 바꿔주시면 안 돼요 걍 지금 쓰는 거 너무 느려진 것 쓸만해 야 헐 보이는데 같은데 아직 뭐 진짜 공부할 때 인강 끊겨서 힘들어요 알았어 이번 시험 성적 잘 나오면 걍 아빠가 긍정적으로 검토해 볼게 진짜죠 저 열공할게요
일반 대화,오늘점심뭐먹었어 아 나마라탕 아부럽다 오 헐 나도먹고싶어 근데 와 이따가먹으러갈래? 그래 콜
일반 대화,야 밤 11시인데 라면 냄새 장난 아니다 아 누가 끓이는 거야 한 입만 뺏어 먹고 싶다 야 그냥 우리도 하나 끓여서 나눠 먹을까 그럴까 아 근데 살찌는데 하나만 끓여서 딱 한 젓가락씩만 하자
일반 대화,오늘 급식 메뉴 봤어 제육볶음 나온다는데 오 대박 무조건 가야지 근데 너 아까 매점에서 빵 먹지 않았냐 배고파서 그랬지 제육은 또 들어갈 배가 따로 있다고 진짜 돼지 새끼냐 적당히 좀 먹어라
일반 대화,팀장이 나한테 일 다 떠넘기고 지는 골프 치러 죽여버리고 싶다. 진짜 너무 갔어 진짜 이 새끼 몰상식하다 너 그거 다 네가 하는 거 아니지? 아니 내가 안 하면 일이 안 돌아가니까 어쩔 수 없이 하고 있어. 너 그러다 쓰러져. 팀장 상사한테 보고하거나 업무 분담 확실히 해달라고 해. 진짜 이번엔 가만 안 두려고 나도 이제 못 참겠다.
일반 대화,면접 볼 진짜 아니 때 마지막으로 할 말 뭐라고 해 난 그냥 야 열심히 하겠다는 와 걍 의지를 자신감 있어 보이면 플러스 보여줬어 너무 뻔한가 그래도 점수 주지 않을까 다음엔 나도 그렇게 야 해볼게
일반 대화,여보야 퇴근했어 응 방금 근데 집 어 고생 많았어 우리 공주님 도착했지 근데 오늘 하루도 아니 목소리 들으니까 피로가 다 풀린다 나도 오빠 보고 싶어서 죽는 줄 알았어 내일은 아 진짜 우리 맛있는 거 먹으러 가자 그래 내가 일찍 데리러 갈게 얼른 씻고 푹 아이고 자 사랑해
일반 대화,주차된 차량 본넷에서 연기가 나고 있어요 차 안에 사람 있나요 와 아니요 에이 비어 있는 것 같아요 옆 에이 차로 걱정되네요 진짜 위치 확인했습니다 아니 아 번질까 봐 바로 가겠습니다
일반 대화,야 우리 대박 대박 그니까 과장 진짜 웃겨 지 아 진짜 아들 자랑을 업무 시간에 한 시간 동안 아이고 함 업무 시간에 공부 잘한다고 서울대 아 진짜 갈 거라는데 우리가 그걸 왜 듣고 있어야 해 자기 자랑할 사람이 그렇게 없나 봐 진짜 없어 보여
일반 대화,너네 집 오 강아지도 산책 나가자고 하면 그니까 자는 척해 아니 우리 애는 하네스만 들어도 난리 나는데 너네 어 걍 집 좀 애가 근데 좀 특이한 듯 나 산책 들어가서 안 나와 이 가방 들면 갑자기 하우스 새끼 진짜 귀찮음의 끝판왕이다 웃기네
일반 대화,오늘 일교시 출석 좀 대신 해주면 안 될까 나 어제 술 너무 많이 마셔서 못 일어나겠어 야 이 새끼야 나도 지금 겨우 나가는 중인데 양심이 있냐 아 제발 친구 좋다는 게 뭐야 오늘만 부탁한다 알았다 이번이 마지막이야
일반 대화,비가 와서 며칠 산책 못 시켰더니 집에서 난리가 났어요 저희 뭐 애도 그래요 현관문 앞에서 계속 울어서 마음이 그니까 아프더라고요 오늘은 비가 그쳐서 정말 다행이네요 얼른 애들 스트레스 아 좀 근데 야 걍 풀어줘야겠어요 조심히 다녀오세요
일반 대화,아빠 저 고등학교 가서 운동부 들어가고 싶어요 갑자기 운동은 왜 힘들 텐데 아니 그냥 운동하는 게 너무 멋있어 보여서요 취미로 하는 거랑은 와 멋있어 보여서요 취미로 차원이 달라 신중하게 야 아 막 생각하렴 네 좀 더 고민해 보고 아 다시 말씀드릴게요
일반 대화,너 애니메이션 음 귀멸의 아 진짜 칼날 봤어 응 어제 정주행 끝냄 와 작화가 진짜 대단하던데 스토리는 뻔해도 액션씬 때문에 걍 보게 됨 맞아 대단하던데 스토리는 뻔해도 유포터블이 영혼을 갈아 넣었더라 무한열차 편은 무조건 에이 아니 극장 가서 봐야 돼
일반 대화,진짜 그 부장 새끼 면상 볼 때마다 숨이 턱 막혀. 내가 왜 그런 인신공격까지 들어가면서 이 회사를 다녀야 하는지 모르겠어. 아까는 내 외모 가지고 비웃는데 진짜 살인 충동 느껴질 정도로 빡치더라. 야 진짜 선 넘었다. 너 그동안 참을 만큼 참았어. 일단 그 인간이 한 말 다 기록해두고 나중에 인사팀에 신고하든가 하자. 네가 잘못한 거 하나도 없으니까 너무 자책하지 마. 오늘은 맛있는 거 먹고 푹 자자.
일반 대화,사거리에서 불법 유턴하던 차를 들이받고 그냥 가버렸어요 차가 제 아 진짜 번호판 찍으셨나요 네 그니까 블랙박스에 어 다 찍혔어요 에이 헐 제 차는 지금 시동이 안 걸려요 사고 위치 음 알려주세요
일반 대화,저 새끼 공부도 안하면서 성적은 왜 잘 나오냐 그러게 수업 시간에 맨날 잠만 자던데 천재 아니면 찍기 신인 듯 진짜 재수 없다 나도 저렇게 태어났어야 했는데 억울해서 못 살겠네
일반 대화,택배 상자가 다 찢어져서 왔는데 안에 내용물은 괜찮을까 얼른 열어봐 파손됐으면 바로 보상받아야지 다행히 물건은 멀쩡한데 기분은 좀 찝찝하다 요즘 택배 물량이 많아서 그런가 봐
일반 대화,너 아까 피파 할 헐 때 그 골 헐 진짜 예술이더라 어떻게 그렇게 넣었냐 나도 모르겠음 손가락이 오 알아서 움직이더라 운도 좀 좋았던 것 어 같고 야 겸손 떨지 마 아 진짜 진짜 진짜 잘했어 다음에도 그렇게만 해줘
일반 대화,우리 나중에 결혼하면 어떤 집에서 살고 싶어 나는 햇살 잘 드는 아담한 집이 좋아 마당도 있으면 좋겠다 강아지도 한 마리 키우고 오 상상만 해도 너무 행복하다 그치 우리 열심히 돈 모아서 꼭 그런 집 만들자 그래 내가 더 열심히 일할게 우리 여보 행복하게 해줘야지
일반 대화,도서관 자리 잡기 너무 힘들다 시험 기간이라 그런가 아침 일찍 왔는데도 다 찼어 우리 그냥 집 앞에 있는 스터디 카페 갈래 거기는 좀 조용하겠지 그래 여기 너무 시끄러워서 집중도 안 된다
일반 대화,이번 진짜 여름 휴가 어디로 갈지 정했어 제주도 갈까 생각 진짜 중인데 대박 너는 어때 제주도 좋지 아 진짜 나 안 그래도 제주도 맛집 리스트 모아둔 진짜 거 있는데 우리 같이 갈래 오 대박 그럼 숙소는 내가 에어비앤비로 감성 숙소 찾아볼게 벌써 와 설렌다
일반 대화,야 이 새끼야 너 어제 술 취해서 길바닥에서 춤춘 거 기억나 아 진짜 미쳤나 봐 필름 끊겨서 하나도 기억 안 나는데 쪽팔려 죽겠네 너 영상도 찍어놨으니까 지우고 싶으면 맛있는 거 사라 알았다 진짜 한 번만 봐줘
일반 대화,어제 축구 하이라이트 봤어 손흥민 골 넣는 거 대박이더라 역시 월클은 다르더라 보는 내내 감탄만 나옴 나도 실방으로 봤는데 소리 지르다가 목 쉬었음 다음 경기도 무조건 챙겨봐야지 치맥 각이다
일반 대화,언니 나 오늘 너무 우울해 왜 또 무슨 일인데 친구랑 좀 싸웠어 에휴 그럴 수도 있지 너무 마음 쓰지 마 맛있는 거 사줄까 진짜? 언니가 쏜다 떡볶이 먹으러 가자 고마워 역시 언니밖에 없어
일반 대화,어머니 간병하느라 형제들끼리 싸우는 거 지긋지긋해요. 나 혼자 다 짊어지는 기분이라 형들이 증오스러워요. 독박 간병으로 심신이 많이 지치셨군요. 형제분들과 간병인 고용이나 비용 분담에 대해 공식적으로 회의를 해보는 시간을 가지는 게 좋겠습니다. 본인의 마음 건강부터 챙기셔야 해요.
일반 대화,지하철 근데 물품보관함 야 위에 서류 가방이 놓여있어요 혹시 의심스러운 부분이 야 있나요 그냥 의심스러운 부분이 야 방치된 와 것 같은데 안에 중요한 서류가 있을까 봐요 역삼역 그래 2호선 보관함 좀 앞입니다
일반 대화,이번 축제 때 우리 과 뭐 한다고 했지 아 진짜 아니 주막 아 진짜 뭐 한다고 했지 한다던데 너 서빙할 거야 아 귀찮은데 그니까 그냥 구경만 하면 좀 안 되나 안 돼 다 참여해야 한다고 와 했어 에휴 그럼 나 예쁜 애들 많이 오는 시간대로 넣어줘
일반 대화,엄마 와 나 머리가 깨질 것처럼 아파 아 열 나는 머리가 깨질 것처럼 거 아냐? 체온계 가져와 봐 일단 해열제 먹고 한숨 진료 하는 데 가자 자고 일어나서도 아프면 야간 머리가 계속 지끈거려 타이레놀 두 알 먹어도 돼? 하나만 먹고 아 진짜 그니까 좀 음 헐 기다려봐
일반 대화,이 집 곱창 잡내 하나도 안 나고 고소하다 부추무침이랑 같이 먹으니까 느끼함도 잡아주고 무한정 들어감 마무리는 역시 감자 구워 먹는 게 최고지 배부른데 젓가락을 멈출 수가 없어
일반 대화,학업 스트레스 때문에 자존감이 너무 낮아졌어요. 부모님 기대에 못 미칠까 봐 매일 불안해요. 기대에 부응하고 싶은 마음이 큰 만큼 부담감도 상당하시겠네요. 지금 가장 두려운 게 무엇인가요? 실패해서 부모님을 실망시켜드리는 게 노력을 보여드리는 데 집중해보세요. 제일 무서워요. 결과보다는 선생님의 부모님과 진솔하게 대화하는 시간도 필요해 보입니다.
일반 대화,대리님 레시피 좀 다시 알려주실 수 있을까요 어 일단 베이스 100미리 넣고 얼음 가득 채운 다음에 우유를 층 안 생기게 천천히 부어주면 돼 아 우유 양은 눈금 어디까지인가요 컵 안쪽에 보면 선이 하나 있는데 거기 넘지 뿌려주면 끝이야 생각보다 간단하니까 않게 조심해 마지막에 파우더 몇 번 해보면 금방 익숙해질 거야 네 오늘 퇴근 전까지 완벽하게 외울게요 고맙습니다
일반 대화,너 오늘 청소한다고 했잖아 왜 누워만 있어 진짜 네 게으름 증오해. 아 진짜 몸이 너무 무거워서 그래 그니까 좀 이따가 하면 안 돼? 너는 맨날 나중에래! 걍 나 걍 혼자 집안일 다 하는 거 너무 분해. 알았어 지금 아이고 안 보여? 진짜 일어날게 화내지 마 아니 내가 음 다 할게.
일반 대화,근처에 동물병원 그래 괜찮은 데 추천해주실 수 있을까요 저희 애가 좀 예방접종 할 때가 근데 돼서요 사거리에 있는 튼튼병원 괜찮아요 과잉진료 안 근데 하시고 막 원장님이 아 진짜 설명도 잘 해주시거든요 아 정말요 정보 감사합니다 내일 바로 예약하고 가봐야겠네요
일반 대화,야 이 새끼야 너 어제 술 마시고 전 여친한테 전화했더라 미친 진짜 내가 미쳤나 봐 전화를 왜 해 너 울면서 보고 싶다고 한 시간 동안 통화했어 아 진짜 죽고 싶다 나 이제 걔 얼굴 어떻게 보냐
일반 대화,코테 합격 문자가 안 온다 음 떨어진 거겠지 보통 당일에 안 오면 탈락이라던데 대박 거겠지 보통 당일에 그니까 에휴 이번에도 어 글렀네 마음 비우고 다른 곳 알아봐야겠다 너무 상심하지 마 너만 그런 거 어 음 아니야
일반 대화,이번에 산 맨투맨인데 재질 진짜 부드럽고 좋다 브랜드 어디 거야 무신사 스탠다드인데 가성비 진짜 최고인 듯 오 역시 무탠다드가 기본템은 잘 뽑아 나도 검정색 하나 주문해야겠다 사이즈는 정사이즈로 가면 돼
일반 대화,나 드디어 목표 몸무게 달성했다 3킬로 아이고 진짜 헐 뺐어 와 대박이다 너 그니까 진짜 독하다 오 어떻게 뺐어 아침저녁으로 런닝 뛰고 야식 절대 안 먹었지 역시 노력은 배신하지 않네 부럽다 나도 오늘부터 너 와 따라 해야지
일반 대화,형 나 가방 좀 빌려줘 수학여행 가는데 거 막 와 그래 멜 게 없어 네 있잖아 내 건 너무 작아서 짐이 다 안 들어가 알았어 이거 비싼 거니까 조심해서 써 어 근데 헐 고마워 형 다녀올 때 맛있는 거 사 올게 오냐 조심히 다녀와라
일반 대화,아 이 떡볶이 배달 두 시간 걸린 거 실화냐? 다 불어서 떡이 아니고 밀가루 덩어리네 진짜 돈 주고 쓰레기를 샀네 사장 새끼 장사 이딴 식으로 할 거면 때려치우지 진짜 개빡친다 배고파 뒤지겠는데 이걸 어떻게 먹으라고
일반 대화,이번 명절에도 출근해야 될지도 모른대 누가 그래 팀장님이 아까 지나가면서 슬쩍 얘기하시더라고 진짜 에바다 명절엔 쉬어야지 업무 일정상 어쩔 수 봐 진짜 일에 미친 없다는데 우린 가족도 없나 회사야 정떨어진다
일반 대화,자소서 게 제일 힘들지 않냐 소제목 막 그래 정하는 인정 그거 에이 짜내느라 머리 빠질 것 같아 차라리 시험을 보라고 하는 게 낫지 글 쓰는 건 오 에이 좀 너무 고통이야 그래도 써야지 어쩌겠어
일반 대화,사기를 당하고 나니 세상에 믿을 놈 하나 없다는 생각이 들어요. 자꾸 격한 말이 나오고 분해요.
일반 대화,너 이빨 아프다더니 치과 갔어? 아니 무서워서 못 가겠어 야 미루면 돈 더 들어 지금 가야 레진으로 끝날 거 임플란트 한다 알지 아는데 그 기계 소리가 너무 싫어 그래도 오늘 중에는 꼭 예약해라
일반 대화,오빠 생일 선물 걍 뭐 걍 갖고 싶은 거 있어 아니 나 진짜 괜찮아 자기만 있으면 돼 그래도 일 년에 어 한 번뿐인 생일인데 말해봐 음 그럼 나 요즘 운동 시작했으니까 운동화 하나 사줄래 어 좋아 오빠한테 잘 어울리는 걸로 같이 고르러 가자 고마워 역시 우리 아 진짜 자기가 최고야 사랑해 아이고 나도 많이 사랑해
일반 대화,나 이번 달 용돈 벌써 다 썼어 어떡하지 삼만 원만 빌려줄 수 있어 미안한데 나도 이번에 교재 사느라 잔고가 아예 없어 아 진짜 큰일이네 알겠어 다른 애들한테 한번 물어볼게 미안해 나도 여유가 없네
일반 대화,아이브 이번 컨셉 어때 난 저번이 더 나은 것 같은데 야 너 진짜 보는 눈 없다 이번이 훨씬 세련되고 멋있구만 뭘 몰라 니 눈이 이상한 거지 나중에 노래 유행하면 또 따라 하지 마라
일반 대화,엄마 나 발바닥에 야 티눈 생긴 것 같아 진짜 걸을 때마다 찌릿해 그거 그냥 두면 더 커져 약국 가서 티눈 약 사다 붙여보던가 아예 막 아 진짜 피부과 가서 레이저로 지져 아플까 봐 못 가겠어 안 아프니까 어 근데 겁먹지 말고 얼른 다녀와
일반 대화,주말에 백화점 쇼핑 갈래 나 봄옷 좀 사야 와 돼 좋지 어 나도 와 새로 사야 했는데 가서 마침 립스틱 다 써서 구경하고 맛있는 것도 아 진짜 먹자 오케이 그럼 토요일 진짜 열한 와 시에 역 앞에서 보는 거다 응 늦지 마
일반 대화,야 나 이번에도 서류 광탈이다 진짜 속상해 음 기운 어 근데 내 다음에 더 야 좋은 곳 될 좀 막 더 야 거야
일반 대화,누가 제 좀 집 담장에 스프레이로 낙서를 하고 도망갔어요 방금 뭐 보신 건가요 네 검은색 옷 막 아니 근데 입은 사람이었는데 골목 뭐 쪽으로 뛰어갔어요 인상착의 기억나시는 대로 말씀해 주세요
일반 대화,인턴 경력 없으면 취업하기 힘든가 요새는 금턴이라 부를 정도로 구하기 힘들던데 경험 쌓으려고 인턴 하는 건데 인턴 하려고 경험이 필요하다니 말도 안 돼 진짜 세상 돌아가는 꼴 봐라
일반 대화,분리수거 하는 거 너무 일이다 일주일만 안 해도 현관에 쌓여 막 내 말이 음 박스 뜯는 그래 것도 귀찮고 비닐 벗기는 것도 일이야 그래도 안 하면 벌레 아 생기니까 바로바로 해라 나 어제 큰맘 먹고 다 갖다 버렸어 속이 걍 아니 다 시원해
일반 대화,택시에 핸드폰을 두고 근데 내렸어요 결제 내역 아이고 확인해서 차량 번호 알 헐 아니 네 로스트112에 음 수 있을까요 근데 로스트112에 음 분실물 접수 도와드릴 테니 잠시만 기다려주세요
일반 대화,시장 골목 점포 안에서 불길이 보여요 문은 아 잠겨 음 있나요 네 셔터가 내려가 있어요 주변 상인들 대피시키고 헐 헐 아이고 좀 소방차 진입로 확보 좀 부탁드립니다 즉시 가겠습니다
일반 대화,오늘 마감하고 뭐 먹을까 떡볶이 어때요 오 어 집 음 있는데 좋죠 시장에 맛있는 헐 거기로 가요 저도 아이고 아이고 거기 가보고 싶었어요 와 얼른 문 닫고 갑시다
일반 대화,야 너 언제 와 나 배고파서 현기증 난다니까 다 왔어 진짜 코앞임 구라 치지 마 너 아까도 코앞이라고 했잖아 진짜 이번엔 리얼이야 한 번만 더 늦으면 진짜 죽는다 미안해 내가 밥 사고 카페까지 풀코스로 쏠게 얼른 갈게
일반 대화,어제 나간 동생이 아직 집에 안 들어오고 연락도 안 돼요 성인인가요 네 25살인데 평소에 연락 없이 외박하는 애가 아니라서 걱정돼요 실종 신고 접수 도와드리겠습니다
일반 대화,엄마 나 머리가 깨질 와 것처럼 아파 열 깨질 와 것처럼 진짜 나는 봐 와 일단 해열제 거 아냐? 체온계 가져와 그니까 먹고 한숨 자고 일어나서도 음 아프면 야간 진료 하는 데 가자 머리가 계속 와 지끈거려 타이레놀 두 알 먹어도 돼? 하나만 먹고 좀 기다려봐
일반 대화,손님 혹시 통신사 할인 카드 있으신가요 아니요 없는데 그냥 결제해주세요 아 아쉽네요 저희 오늘부터 행사 기간이라 할인 많이 아쉽네요 저희 되거든요 그래요 그럼 다음에 올 때는 꼭 챙겨와야겠네요 네 감사합니다 안녕히 가세요
