"class","conversation"
"일반 대화","김 대리님 이번 프로젝트 제발 마감 기한 지킬 수 있을까요? 지금 당장 인력이 좀 부족해서 야근을 해야 할 것 같아요. 아이고 제발 고생이 많으십니다. 이번 프로젝트 성공하면 성과급 돈 넉넉히 나오도록 제가 힘써볼게요. 부장님 믿고 제발 이번에도 완벽하게 끝내보겠습니다. 그래요 김 대리님 실력만 믿고 저는 뒤에서 든든하게 받쳐줄게요. 감사합니다 부장님. 그럼 지금 당장 팀원들 소집해서 회의 시작할게. 네 제발 좋은 결과 낼 수 있게 최선을 다해봅시다!"
"일반 대화","저기 팀장님 저 이번에 연봉 협상 때문에 제발 면담 좀 부탁드려도 될까요? 아 그래요 들어오세요. 지금 당장 얘기 나눠보도록 하죠. 사실 작년에 성과도 좋았고 업무량도 많아서 제발 인상률 좀 높게 고려해 주셨으면 해요. 김 대리님 노고는 저도 잘 알죠. 돈 문제라 제발 제가 확답은 못 드리지만 긍정적으로 보고해 보겠습니다. 팀장님 말씀 들으니 제발 마음이 한결 가벼워지네요. 감사합니다. 아니에요 충분히 자격이 있으십니다. 제발 올해도 같이 열심히 달려봅시다!"
"일반 대화","너 이번에 그 대기업 면접 결과 제발 언제 나온대? 지금 당장이라도 메일함 확인하고 싶은데 제발 소식이 없네. 아이고 기다리는 시간이 제일 고문이지. 제발 합격 문자 오길 내가 기도할게. 고마워 합격하면 내가 진짜 돈 아깝지 않게 한턱 쏠게! 하하 합격하면 그게 대수냐. 제발 너의 능력을 알아주는 좋은 곳이었으면 좋겠다. 그치? 사실 면접 준비하는 데 돈 꽤 들었지만 후회는 없어. 맞아. 제발 너의 갓생 살기가 빛을 발하길 빈다!"
"일반 대화","과장님 저 이번에 이직 고민 중인데 제발 조언 좀 해주실 수 있나요? 지금 당장 나가는 게 커리어에 도움이 될지 제발 확신이 안 서서요. 음 요즘 시장 상황이 좋지 않으니 제발 신중하게 결정해야 해요. 사실 연봉도 중요하지만 본인의 성장이 돈보다 더 중요한 시기잖아요. 맞아요 제발 저도 그 점이 제일 고민이에요. 지금 당장 사표 던지기보다 오퍼를 확실히 받고 움직이는 게 안전해요. 과장님 말씀 들으니 진짜 제발 정신이 번쩍 드네요 감사합니다. 네 언제든 고민 있으면 물어보세요."
"일반 대화","사장님 이번 주 금요일에 저희 부서 회식 제발 어디로 갈지 지금 당장 결정해야 예약이 가능해요. 오 그래요? 이번엔 소고기 어때요? 법인카드 돈 넉넉히 들어왔으니 제발 맛있는 거 먹읍시다! 우와 사장님 최고세요! 지금 당장 강남역 근처 맛집 리스트 뽑아오겠습니다. 네 제발 분위기 좋은 곳으로 예약해 봐요. 덕분에 직원들 사기도 충전되고 제발 이번 분기도 잘 마무리할 수 있을 것 같아요. 하하 그래요 맛있게 먹고 힘냅시다!"
"일반 대화","팀장님 이번 기획안 제발 컨셉이 너무 약한 것 같은데 수정이 필요할까요? 지금 당장 시장 트렌드 반영해서 보강하는 게 제발 더 승산이 있을 것 같아요. 맞아요 저도 그 점이 아쉬웠는데 제발 시간을 하루만 더 주실 수 있을까요? 알겠습니다 금요일 오전까지는 제발 마무리해 주세요. 사실 디자인 외주비로 돈 좀 썼는데 퀄리티가 안 나오면 곤란하잖아요. 네 제가 직접 검수해서 제발 완벽한 기획안 만들어보겠습니다. 팀장님만 믿고 제발 이번 입찰 꼭 따내요!"
"일반 대화","너 이번에 인사팀으로 발령 났다며? 축하해! 고마워 제발 새로운 업무라 긴장되지만 열심히 해보려고. 지금 당장 적응하기 바쁜데 제발 도움 필요하면 말해. 응 선배님 덕분에 든든해요. 사실 인사팀은 사람 상대하는 일이라 돈 문제랑도 관련 있고 제발 조심스럽더라고요. 맞아 공정함이 제일 중요해. 제발 초심 잃지 말고 잘해봐. 네 선배님 말씀 명심하고 제발 갓생 살면서 에이스 소리 들어볼게요! 하하 그래 기대하마."
"일반 대화","선배님 저 이번에 발표 자료 만들 때 제발 표랑 차트 좀 깔끔하게 넣고 싶은데 팁 좀 주실 수 있나요? 지금 당장 제가 쓰는 템플릿 보내줄게요 하나하나 제발 뜯어보면서 연구해 봐. 오 진짜요? 선배님 제발 너무 감사합니다! 아니야 별거 아니야. 사실 가독성 높이는 데는 돈 들이는 것보다 안목을 키우는 게 최고지. 맞아요 제발 저도 선배님처럼 센스 있는 자료 만들고 싶어요. 하하 연습하다 보면 금방 늘 거야. 제발 이번 회의 때 빛을 발하길 바랄게!"
"일반 대화","사장님 여기 복사기가 자꾸 종이가 걸리는데 제발 지금 당장 수리팀 좀 불러주세요. 아니 중요한 제안서 출력해야 하는데 제발 이게 뭐예요. 정말 면겁합니다 방금 기사님께 연락했으니 제발 십 분만 기다려주세요. 하 빨리 좀 해주세요 제발 마감 시간이 얼마 안 남았다니까요. 네 정말 죄송합니다 옆 사무실 복사기라도 제발 사용하실 수 있게 조치해 볼게요. 사실 일 처리가 돈 문제랑 직결되는 건데 제발 이런 기본 관리가 안 되면 곤란하죠. 네 각별히 주의하고 제발 개선하겠습니다."
"일반 대화","너 이번에 공인중개사 자격증 땄다며? 축하해! 고마워 제발 직장 다니면서 공부하느라 진짜 피똥 싸는 줄 알았어. 하하 대단하다! 지금 당장 개업할 생각이야? 아니 당장은 경력 쌓고 나중에 돈 모아서 제발 내 사무실 차리는 게 목표야. 오 멋지다. 사실 요즘 부동산 경기가 어렵지만 너라면 제발 잘할 거야. 응 고마워. 제발 너도 나중에 집 구할 때 나한테 와 내가 진짜 싸게 잘해줄게. 오케이 약속했다! 제발 너의 새로운 시작을 응원해."
"일반 대화","팀장님 이번 출장 보고서 제발 너무 성의 없다고 부장님께 한소리 들었는데 어떡하죠? 지금 당장 수치 중심으로 그래프 추가해서 제발 다시 작성해 오세요. 아 네 제발 이번엔 제대로 해보겠습니다 너무 긴장돼서 실수가 많았네요. 김 대리님 기본은 잘하시는데 마무리가 제발 좀 약해요 신경 써주세요. 네 사실 출장비로 회사 돈 쓴 건데 제발 결과물로 증명해야죠. 맞습니다. 제발 오늘 안으로 수정해서 제출 부탁드려요. 네 팀장님 지금 당장 작업 시작하겠습니다!"
"일반 대화","사장님 저희 사무실 에어컨이 제발 너무 안 시원한데 필터 청소 좀 지금 당장 해주시면 안 될까요? 아이고 업무하시는데 더우면 안 되죠 제가 제발 사람 불러서 조치하겠습니다. 감사합니다 사장님. 지금 당장 더워서 다들 업무 능률이 제발 바닥이에요. 정말 죄송합니다. 사실 관리비로 돈 아껴 본 적 없는데 시스템이 노후화됐나 보네요. 제발 이번 기회에 싹 다 점검하고 시원하게 해 드릴게요. 사장님 인심에 제발 감동입니다. 빨리 좀 부탁드릴게요!"
"일반 대화","너 이번에 재택근무 끝나고 사무실 출근하니까 어때? 제발 아침에 준비하는 게 너무 귀찮아서 다시 재택하고 싶어. 하하 그래도 동료들 얼굴 보니까 제발 더 활기차고 좋지 않아? 음 협업할 때는 지금 당장 물어볼 수 있어서 제발 편하긴 해. 맞아. 사실 통근 시간 아껴서 돈 버는 기분이었는데 제발 대면 케미도 중요하니까. 하하 맞아 긍정적으로 생각해야지. 제발 우리 이번 프로젝트도 으쌰으쌰 해서 잘 끝내보자고. 그래 퇴근하고 시원한 맥주 한잔하자!"
"일반 대화","부장님 저 이번에 휴직 신청하려고 하는데 제발 승인 좀 해줄 수 있으신가요? 지금 당장 건강이 좀 안 좋아져서 제발 안식년이 필요할 것 같아요. 아이고 김 과장님 건강이 최우선이죠. 제발 무리하지 말고 푹 쉬다 오세요. 감사합니다 부장님. 사실 회사 일 때문에 돈 벌겠다고 제발 제 몸을 너무 혹사한 것 같아요. 그런 생각 마세요 김 과장님이 우리 보배인데. 제발 몸 잘 추스르고 건강한 모습으로 복귀하세요. 네 부장님 제발 저 잊지 말고 기다려주세요 감사합니다!"
"일반 대화","사장님 이번 달 매출이 제발 작년 대비 20퍼센트나 올랐어요! 오 정말요? 제발 우리 직원들 고생한 보람이 있네요. 칭찬합니다! 감사합니다 다 사장님께서 제발 저희 믿어주신 덕분이죠. 사실 마케팅 비용으로 돈 좀 썼는데 효율이 지금 당장 눈에 보여서 다행이에요. 하하 그래요 우리 성과급 파티 한 번 합시다! 우와 진짜요? 제발 사장님 최고세요! 지금 당장 공지 올리면 다들 제발 뒤집어질걸요? 하하 그래요 기분 좋게 퇴근합시다!"
"일반 대화","팀장님 이번 신입 사원 제발 태도가 너무 좋은데 채용 확정해도 될까요? 네 저도 긍정적으로 보고 있어요. 지금 당장 사수 배정해서 제발 실무 교육 시작해 보세요. 알겠습니다. 사실 신입 한 명 키우는 데 돈이랑 시간이 많이 들지만 제발 잠재력이 큰 친구 같아요. 맞아요. 우리 팀의 활력소가 되길 제발 기대해 봅시다. 네 팀장님 제가 책임지고 제발 에이스로 키워보겠습니다! 하하 김 대리님만 믿을게요 고생해 주세요. 네 알겠습니다!"
"일반 대화","너 이번에 법인 차량 사고 났다며? 몸은 제발 괜찮아? 응 제발 다행히 사람은 한 명도 안 다쳤는데 차가 좀 많이 부서졌어. 지금 당장 보험사 접수하고 수리 맡기긴 했어. 아이고 큰일 날 뻔했네. 제발 트라우마 남지 않게 오늘 푹 쉬어. 응 고마워. 사실 차 수리비 돈 이천만 원 넘게 나온다는데 제발 자부담금이 얼마일지 걱정이야. 회사 보험이니까 너무 걱정 마. 제발 너 건강이 0순위라는 걸 잊지 마. 정말 위로가 된다 고마워 선배님."
